type,difficulty,category,question,correct_answer,option1,option2,option3,option4
multiple,medium,Entertainment: Video Games,How many Chaos Emeralds can you collect in the first Sonic The Hedgehog?,Six,Eight,Six,Five,Seven
boolean,medium,Entertainment: Cartoon & Animations,Nutcracker Suite was one of the musical pieces featured in Disney's 1940's film Fantasia.,True,,False,,True
multiple,easy,Entertainment: Film,When does 'Rogue One: A Star Wars Story' take place chronologically in the series?,Between Episode 3 and 4,Between Episode 3 and 4,Before Episode 1,Between Episode 4 and 5,After Episode 6
multiple,hard,General Knowledge,Electronic music producer Kygo's popularity skyrocketed after a certain remix. Which song did he remix?,Ed Sheeran - I See Fire,Ed Sheeran - I See Fire,Marvin Gaye - Sexual Healing,a-ha - Take On Me,Coldplay - Midnight
boolean,easy,Entertainment: Video Games,The main character in the 'Half-Life' franchise is named Morgan Freeman.,False,,True,False,
multiple,hard,Entertainment: Board Games,The board game 'Monopoly' is a variation of what board game?,The Landlord's Game,Property Feud,Territorial Dispute,The Monopolist's Game,The Landlord's Game
boolean,medium,Science & Nature,The Doppler effect applies to light.,True,True,False,,
multiple,hard,Sports,Which English football team is nicknamed 'The Tigers'?,Hull City,Cardiff City,Hull City,Bristol City,Manchester City
multiple,medium,Entertainment: Film,Who voiced the character Draco in the 1996 movie 'DragonHeart'?,Sean Connery,Brian Thompson,Sean Connery,Dennis Quaid,Pete Postlethwaite
multiple,hard,Entertainment: Film,"In order to cut costs, what were most of the extras of Mad Max (1979) paid with?",Beer,They weren't paid,Beer,Food stamps,Fast food
multiple,medium,Entertainment: Music,"The 1952 musical composition 4'33', composed by prolific American composer John Cage, is mainly comprised of what sound?",Silence,Silence,Cricket chirps,Farts,People talking
multiple,medium,Entertainment: Video Games,"In 'The Binding of Isaac', what is the name of the final boss that you fight in The Void?",Delirium,Delirium,Hush,The Lamb,Mega Satan
multiple,easy,Art,Who painted 'The Starry Night'?,Vincent van Gogh,Claude Monet,Vincent van Gogh,Pablo Picasso,Edvard Munch
multiple,hard,Entertainment: Video Games,"In the PAYDAY series, where did Dallas start his criminal career?","Chicago, Illinois","Chicago, Illinois","Dallas, Texas","Boston, Massachusetts","New York City, New York"
multiple,medium,Politics,Which former US president used 'Let's Make America Great Again' as his campaign slogan before Donald Trump's campaign?,Ronald Reagan,Jimmy Carter,Ronald Reagan,Gerald Ford,Richard Nixon
multiple,medium,Entertainment: Video Games,Who created Agent 47 in the game series 'Hitman'?,Dr. Otto Wolfgang Ort-Meyer,Professor Otto Rothwinkler,Professor Hertz Amadeus Schneider,Dr. Josef Mengele,Dr. Otto Wolfgang Ort-Meyer
multiple,medium,Entertainment: Video Games,Which of the following is not a real Pok&eacute;mon?,Luminid,Mandibuzz,Araquanid,Luminid,Dragalge
multiple,medium,Entertainment: Video Games,What engine did the original 'Half-Life' run on?,GoldSrc,Unreal,Source,Quake,GoldSrc
boolean,easy,Animals,"The freshwater amphibian, the Axolotl, can regrow it's limbs.",True,False,,,True
multiple,hard,Science & Nature,How much radiation does a banana emit?,0.1 Microsievert,0.7 Microsievert,0.3 Microsievert,0.5 Microsievert,0.1 Microsievert
boolean,medium,Geography,Israel is 7 hours ahead of New York.,True,,,False,True
multiple,hard,Entertainment: Music,Who was not in the band 'The Smiths'?,Martin Chambers,Mike Joyce,Martin Chambers,Morrissey,Andy Rourke
multiple,medium,Entertainment: Music,Which popular rock band has a one-armed drummer?,Def Leppard,Lynyrd Skynyrd,Foreigner,Def Leppard,The Beatles
multiple,easy,Entertainment: Japanese Anime & Manga,Who is the colossal titan in 'Attack On Titan'?,Bertolt Hoover,Sasha,Reiner,Eren,Bertolt Hoover
multiple,hard,Science: Gadgets,Which round does a WW2 M1 Garand fire?,.30-06,7.62x51mm,7.62,.308,.30-06
boolean,medium,Entertainment: Video Games,The Ace Attorney trilogy was suppose to end with 'Phoenix Wright: Ace Attorney &minus; Trials and Tribulations' as its final game.,True,,True,False,
multiple,hard,Entertainment: Video Games,"In Xenoblade Chronicles X, which class has a sniper rifle as it's primary weapon?",Partisan Eagle,Partisan Eagle,Bastion Warrior,Blast Fencer,Winged Viper
multiple,medium,Entertainment: Film,"Brendan Fraser starred in the following movies, except which one?",Titanic,Encino Man,Monkeybone,Titanic,Mrs. Winterbourne
multiple,hard,General Knowledge,"If someone said 'you are olid', what would they mean?",You smell extremely unpleasant.,Your appearance is repulsive.,You smell extremely unpleasant.,You are out of shape/weak.,You are incomprehensible/an idiot.
multiple,hard,Entertainment: Film,In the movie 'Scream' who is Ghost Face?,Billy Loomis and Stu Macher,Sidney Prescott,Archie Prescott and Philip Marv,Dewey Riley,Billy Loomis and Stu Macher
multiple,easy,Science: Computers,What language does Node.js use?,JavaScript,Java,Joomla Source Code,Java Source,JavaScript
multiple,easy,Entertainment: Film,Who plays Alice in the Resident Evil movies?,Milla Jovovich,Milla Johnson,Milla Jovovich,Madison Derpe,Kim Demp
multiple,medium,Science: Computers,What does the term GPU stand for?,Graphics Processing Unit,Gaming Processor Unit,Graphics Processing Unit,Graphite Producing Unit,Graphical Proprietary Unit
multiple,medium,Entertainment: Television,Which WWF wrestler had the nickname 'The Ayatollah of Rock 'N' Rolla'?,Chris Jericho,Scott Hall,Marty Jannetty,Chris Jericho,Shawn Michaels
multiple,easy,Entertainment: Books,Who wrote the young adult novel 'The Fault in Our Stars'?,John Green,Suzanne Collins,John Green,Stephen Chbosky,Stephenie Meyer
multiple,easy,Entertainment: Film,Daniel Radcliffe became a global star in the film industry due to his performance in which film franchise?,Harry Potter,Harry Potter,Pirates of the Caribbean ,Ted,Spy Kids
multiple,hard,Entertainment: Books,Where does the book 'The Silence of the Lambs' get its title from?,The main character's trauma in childhood,The voice of innocent people being shut by the powerful,The relation it has with killing the innocents,The main character's trauma in childhood,The villain's favourite meal
boolean,hard,Entertainment: Board Games,The board game Go has more possible legal positions than the number of atoms in the visible universe.,True,,False,True,
multiple,medium,Entertainment: Books,"In the year 1818, novelist Mary Shelly is credited with writing a fiction novel and creating this infamous character.",Frankenstein's monster,The Thing,Dracula,Frankenstein's monster,The Invisible Man
boolean,easy,Entertainment: Video Games,The Mann Co. Store from Team Fortress 2 has the slogan 'We hire mercenaries and get in fights'.,False,True,,False,
multiple,easy,General Knowledge,Who is the author of Jurrasic Park?,Michael Crichton,Chuck Paluhniuk,Irvine Welsh,Peter Benchley,Michael Crichton
multiple,easy,Entertainment: Video Games,"In the Assassin's Creed series,what was the name of Desmond Miles given by Abstergo?",Subject 17,Alta&iuml;r Ibn-La'Ahad,Subject 16,Subject 17,Subject 18
multiple,easy,Entertainment: Video Games,"League of Legends, DOTA 2, Smite and Heroes of the Storm are all part of which game genre?",Multiplayer Online Battle Arena (MOBA),Real Time Strategy (RTS),Multiplayer Online Battle Arena (MOBA),First Person Shooter (FPS),Role Playing Game (RPG)
boolean,easy,Entertainment: Film,Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,True,,,True,False
multiple,medium,History,When was the Grand Patriotic War in the USSR concluded?,"May 9th, 1945","August 9th, 1945","May 9th, 1945","December 11th, 1945","September 2nd, 1945"
multiple,hard,Science & Nature,Which major extinction event was caused by an asteroid collision and eliminated the majority of non-avian dinosaurs?,Cretaceous-Paleogene,Permian&ndash;Triassic,Ordovician&ndash;Silurian,Triassic&ndash;Jurassic,Cretaceous-Paleogene
